Interactor_A,Interactor_B,Symbol_A,Symbol_B
11264,5830,PXMP4,PEX5
11264,6342,PXMP4,SCP2
11264,5824,PXMP4,PEX19
11264,5193,PXMP4,PEX12
11264,9409,PXMP4,PEX16
11264,92960,PXMP4,PEX11G
9218,9218,VAPA,VAPA
9218,59353,VAPA,TMEM35A
2053,51024,EPHX2,FIS1
2053,5052,EPHX2,PRDX1
2053,2053,EPHX2,EPHX2
2053,3295,EPHX2,HSD17B4
10247,10247,RIDA,RIDA
55825,215,PECR,ABCD1
55825,26063,PECR,DECR2
55825,252995,PECR,FNDC5
55825,373156,PECR,GSTK1
55825,51179,PECR,HAO2
55825,3155,PECR,HMGCL
55825,56947,PECR,MFF
55825,55825,PECR,PECR
55825,219743,PECR,TYSND1
55825,5824,PECR,PEX19
55825,5830,PECR,PEX5
55825,6342,PECR,SCP2
55825,6648,PECR,SOD2
3098,3098,HK1,HK1
30,122970,ACAA1,ACOT4
30,5194,ACAA1,PEX13
30,5830,ACAA1,PEX5
30,222659,ACAA1,PXT1
30,51024,ACAA1,FIS1
30,30,ACAA1,ACAA1
30,373156,ACAA1,GSTK1
30,4843,ACAA1,NOS2
30,10654,ACAA1,PMVK
30,94009,ACAA1,SERHL
30,219743,ACAA1,TYSND1
30,641371,ACAA1,ACOT1
30,51703,ACAA1,ACSL5
30,1610,ACAA1,DAO
30,11001,ACAA1,SLC27A2
30,284273,ACAA1,PTGR3
30,26063,ACAA1,DECR2
30,92960,ACAA1,PEX11G
30,5195,ACAA1,PEX14
30,5824,ACAA1,PEX19
30,5191,ACAA1,PEX7
30,51268,ACAA1,PIPOX
3615,3615,IMPDH2,IMPDH2
3615,6647,IMPDH2,SOD1
3615,10059,IMPDH2,DNM1L
38,38,ACAT1,ACAT1
38,189,ACAT1,AGXT
38,5191,ACAT1,PEX7
38,6647,ACAT1,SOD1
39,39,ACAT2,ACAT2
23600,51024,AMACR,FIS1
23600,252995,AMACR,FNDC5
23600,1891,AMACR,ECH1
51,5830,ACOX1,PEX5
51,373156,ACOX1,GSTK1
51,51,ACOX1,ACOX1
51,3417,ACOX1,IDH1
51,5824,ACOX1,PEX19
570,5830,BAAT,PEX5
570,10901,BAAT,DHRS4
570,570,BAAT,BAAT
570,8528,BAAT,DDO
65084,5830,TMEM135,PEX5
65084,5264,TMEM135,PHYH
65084,5824,TMEM135,PEX19
252995,5830,FNDC5,PEX5
252995,5825,FNDC5,ABCD3
252995,26063,FNDC5,DECR2
252995,1891,FNDC5,ECH1
252995,252995,FNDC5,FNDC5
252995,3416,FNDC5,IDE
252995,3155,FNDC5,HMGCL
252995,5824,FNDC5,PEX19
252995,51268,FNDC5,PIPOX
252995,6342,FNDC5,SCP2
51268,5194,PIPOX,PEX13
51268,5830,PIPOX,PEX5
51268,51024,PIPOX,FIS1
51268,6647,PIPOX,SOD1
51268,4843,PIPOX,NOS2
51268,6342,PIPOX,SCP2
51268,3155,PIPOX,HMGCL
51268,5824,PIPOX,PEX19
5189,5194,PEX1,PEX13
5189,5830,PEX1,PEX5
5189,6647,PEX1,SOD1
5189,5824,PEX1,PEX19
5189,5190,PEX1,PEX6
5190,5830,PEX6,PEX5
5190,219743,PEX6,TYSND1
5190,5824,PEX6,PEX19
5190,8310,PEX6,ACOX3
5190,55670,PEX6,PEX26
5191,5194,PEX7,PEX13
5191,5264,PEX7,PHYH
5191,8309,PEX7,ACOX2
5191,8540,PEX7,AGPS
5191,5830,PEX7,PEX5
5191,51555,PEX7,PEX5L
5192,5194,PEX10,PEX13
5192,5830,PEX10,PEX5
5192,51024,PEX10,FIS1
5192,219743,PEX10,TYSND1
5192,5824,PEX10,PEX19
5192,5193,PEX10,PEX12
5192,9409,PEX10,PEX16
5192,5192,PEX10,PEX10
5193,224,PEX12,ALDH3A2
5193,5194,PEX12,PEX13
5193,5830,PEX12,PEX5
5193,5827,PEX12,PXMP2
5193,1610,PEX12,DAO
5193,91452,PEX12,ACBD5
5193,6342,PEX12,SCP2
5193,5824,PEX12,PEX19
5193,5193,PEX12,PEX12
5193,9409,PEX12,PEX16
5193,55670,PEX12,PEX26
5193,51703,PEX12,ACSL5
5194,215,PEX13,ABCD1
5194,224,PEX13,ALDH3A2
5194,5194,PEX13,PEX13
5194,5830,PEX13,PEX5
5194,5195,PEX13,PEX14
5194,5824,PEX13,PEX19
5194,55670,PEX13,PEX26
1610,5830,DAO,PEX5
1610,5052,DAO,PRDX1
1610,1610,DAO,DAO
1610,10455,DAO,ECI2
5195,224,PEX14,ALDH3A2
5195,84188,PEX14,FAR1
5195,5830,PEX14,PEX5
5195,51024,PEX14,FIS1
5195,5824,PEX14,PEX19
5195,5195,PEX14,PEX14
5195,9665,PEX14,MARF1
5195,55670,PEX14,PEX26
71,71,ACTG1,ACTG1
71,1962,ACTG1,EHHADH
3155,51024,HMGCL,FIS1
3155,3155,HMGCL,HMGCL
3155,5824,HMGCL,PEX19
3156,51024,HMGCR,FIS1
91734,5830,IDI2,PEX5
91734,5264,IDI2,PHYH
122970,215,ACOT4,ABCD1
122970,122970,ACOT4,ACOT4
122970,1384,ACOT4,CRAT
122970,54677,ACOT4,CROT
122970,51179,ACOT4,HAO2
122970,3417,ACOT4,IDH1
122970,92960,ACOT4,PEX11G
122970,5824,ACOT4,PEX19
122970,5830,ACOT4,PEX5
122970,6342,ACOT4,SCP2
54363,10005,HAO1,ACOT8
54363,54363,HAO1,HAO1
54363,25824,HAO1,PRDX5
54363,4591,HAO1,TRIM37
340061,340061,STING1,STING1
8799,5830,PEX11B,PEX5
8799,5052,PEX11B,PRDX1
8799,6647,PEX11B,SOD1
8799,91452,PEX11B,ACBD5
8799,8799,PEX11B,PEX11B
8799,92960,PEX11B,PEX11G
8799,5824,PEX11B,PEX19
8799,55670,PEX11B,PEX26
8799,6648,PEX11B,SOD2
8800,26061,PEX11A,HACL1
8800,5824,PEX11A,PEX19
219743,51024,TYSND1,FIS1
219743,84129,TYSND1,ACAD11
219743,10005,TYSND1,ACOT8
219743,23305,TYSND1,ACSL6
219743,1891,TYSND1,ECH1
219743,25824,TYSND1,PRDX5
219743,6648,TYSND1,SOD2
219743,219743,TYSND1,TYSND1
284273,5830,PTGR3,PEX5
284273,641371,PTGR3,ACOT1
284273,5824,PTGR3,PEX19
284273,5828,PTGR3,PEX2
284273,6342,PTGR3,SCP2
284273,8528,PTGR3,DDO
284273,284273,PTGR3,PTGR3
56947,10059,MFF,DNM1L
56947,56947,MFF,MFF
8309,5830,ACOX2,PEX5
8309,5826,ACOX2,ABCD4
8309,10654,ACOX2,PMVK
8309,5824,ACOX2,PEX19
8310,5830,ACOX3,PEX5
8310,5824,ACOX3,PEX19
2182,51024,ACSL4,FIS1
2182,5824,ACSL4,PEX19
83594,373156,NUDT12,GSTK1
83594,83594,NUDT12,NUDT12
5264,215,PHYH,ABCD1
5264,5830,PHYH,PEX5
5264,51703,PHYH,ACSL5
5264,5824,PHYH,PEX19
5264,23417,PHYH,MLYCD
5264,5052,PHYH,PRDX1
10901,84188,DHRS4,FAR1
10901,10005,DHRS4,ACOT8
10901,10901,DHRS4,DHRS4
10901,3416,DHRS4,IDE
10901,5824,DHRS4,PEX19
10901,55670,DHRS4,PEX26
9368,9368,NHERF1,NHERF1
84129,5830,ACAD11,PEX5
84129,5824,ACAD11,PEX19
84129,6342,ACAD11,SCP2
6647,5826,SOD1,ABCD4
6647,6647,SOD1,SOD1
6647,387,SOD1,RHOA
6647,10130,SOD1,PDIA6
6647,25824,SOD1,PRDX5
6647,3939,SOD1,LDHA
6647,7086,SOD1,TKT
6647,10059,SOD1,DNM1L
6647,373156,SOD1,GSTK1
57506,57506,MAVS,MAVS
6648,5830,SOD2,PEX5
6648,51024,SOD2,FIS1
6648,5824,SOD2,PEX19
6648,6648,SOD2,SOD2
2224,2224,FDPS,FDPS
2744,2744,GLS,GLS
189,5830,AGXT,PEX5
189,5052,AGXT,PRDX1
189,373156,AGXT,GSTK1
189,189,AGXT,AGXT
189,5824,AGXT,PEX19
5824,215,PEX19,ABCD1
5824,224,PEX19,ALDH3A2
5824,84188,PEX19,FAR1
5824,5830,PEX19,PEX5
5824,5827,PEX19,PXMP2
5824,10478,PEX19,SLC25A17
5824,5825,PEX19,ABCD3
5824,51024,PEX19,FIS1
5824,5052,PEX19,PRDX1
5824,10654,PEX19,PMVK
5824,51703,PEX19,ACSL5
5824,11001,PEX19,SLC27A2
5824,91452,PEX19,ACBD5
5824,3417,PEX19,IDH1
5824,26063,PEX19,DECR2
5824,3416,PEX19,IDE
5824,1891,PEX19,ECH1
5824,225,PEX19,ABCD2
5824,8443,PEX19,GNPAT
5824,6342,PEX19,SCP2
5824,54996,PEX19,MTARC2
5824,3295,PEX19,HSD17B4
5824,23417,PEX19,MLYCD
5824,4358,PEX19,MPV17
5824,8540,PEX19,AGPS
5824,84896,PEX19,ATAD1
5824,55711,PEX19,FAR2
5824,9409,PEX19,PEX16
5824,5824,PEX19,PEX19
5824,55670,PEX19,PEX26
5824,8504,PEX19,PEX3
5824,5828,PEX19,PEX2
5825,5830,ABCD3,PEX5
5825,51024,ABCD3,FIS1
5825,215,ABCD3,ABCD1
5825,5825,ABCD3,ABCD3
5825,144811,ABCD3,LACC1
9409,224,PEX16,ALDH3A2
9409,5830,PEX16,PEX5
9409,5827,PEX16,PXMP2
9409,51024,PEX16,FIS1
9409,9409,PEX16,PEX16
9409,55670,PEX16,PEX26
9409,8504,PEX16,PEX3
5827,215,PXMP2,ABCD1
5827,224,PXMP2,ALDH3A2
5827,5830,PXMP2,PEX5
5827,91452,PXMP2,ACBD5
5827,55670,PXMP2,PEX26
5827,8504,PXMP2,PEX3
5827,84896,PXMP2,ATAD1
5827,5827,PXMP2,PXMP2
5827,10478,PXMP2,SLC25A17
5826,222659,ABCD4,PXT1
5826,5826,ABCD4,ABCD4
5826,5052,ABCD4,PRDX1
6342,5830,SCP2,PEX5
6342,222659,SCP2,PXT1
6342,51024,SCP2,FIS1
6342,1891,SCP2,ECH1
6342,25824,SCP2,PRDX5
6342,6342,SCP2,SCP2
6342,857,SCP2,CAV1
6342,3295,SCP2,HSD17B4
5830,215,PEX5,ABCD1
5830,224,PEX5,ALDH3A2
5830,1962,PEX5,EHHADH
5830,84188,PEX5,FAR1
5830,10005,PEX5,ACOT8
5830,8540,PEX5,AGPS
5830,26063,PEX5,DECR2
5830,1891,PEX5,ECH1
5830,373156,PEX5,GSTK1
5830,3295,PEX5,HSD17B4
5830,23417,PEX5,MLYCD
5830,10455,PEX5,ECI2
5830,5830,PEX5,PEX5
5830,5052,PEX5,PRDX1
5830,225,PEX5,ABCD2
5830,91452,PEX5,ACBD5
5830,23305,PEX5,ACSL6
5830,84896,PEX5,ATAD1
5830,1384,PEX5,CRAT
5830,54677,PEX5,CROT
5830,55711,PEX5,FAR2
5830,51024,PEX5,FIS1
5830,26061,PEX5,HACL1
5830,3417,PEX5,IDH1
5830,54996,PEX5,MTARC2
5830,4598,PEX5,MVK
5830,10478,PEX5,SLC25A17
5830,11001,PEX5,SLC27A2
5830,847,PEX5,CAT
5830,4591,PEX5,TRIM37
54996,1962,MTARC2,EHHADH
54996,373156,MTARC2,GSTK1
54996,4843,MTARC2,NOS2
54996,847,MTARC2,CAT
215,215,ABCD1,ABCD1
215,224,ABCD1,ALDH3A2
215,1962,ABCD1,EHHADH
215,84188,ABCD1,FAR1
215,222659,ABCD1,PXT1
215,10478,ABCD1,SLC25A17
215,225,ABCD1,ABCD2
215,11001,ABCD1,SLC27A2
10455,51024,ECI2,FIS1
10455,10654,ECI2,PMVK
10455,1891,ECI2,ECH1
10455,10455,ECI2,ECI2
84188,224,FAR1,ALDH3A2
84188,84188,FAR1,FAR1
84188,55670,FAR1,PEX26
3295,10654,HSD17B4,PMVK
3295,641371,HSD17B4,ACOT1
3295,3295,HSD17B4,HSD17B4
3295,4598,HSD17B4,MVK
25824,51024,PRDX5,FIS1
25824,25824,PRDX5,PRDX5
224,91452,ALDH3A2,ACBD5
224,224,ALDH3A2,ALDH3A2
224,222659,ALDH3A2,PXT1
224,51024,ALDH3A2,FIS1
224,92960,ALDH3A2,PEX11G
224,55670,ALDH3A2,PEX26
225,51024,ABCD2,FIS1
225,51179,ABCD2,HAO2
4843,373156,NOS2,GSTK1
4843,4598,NOS2,MVK
4843,10654,NOS2,PMVK
4843,4843,NOS2,NOS2
10478,51024,SLC25A17,FIS1
64757,3329,MTARC1,HSPD1
11001,51024,SLC27A2,FIS1
11001,92960,SLC27A2,PEX11G
11001,3416,SLC27A2,IDE
8443,51024,GNPAT,FIS1
80125,4591,CCDC33,TRIM37
4358,94009,MPV17,SERHL
7431,7431,VIM,VIM
7431,51555,VIM,PEX5L
23305,23305,ACSL6,ACSL6
10005,641371,ACOT8,ACOT1
10005,10005,ACOT8,ACOT8
92960,1891,PEX11G,ECH1
92960,55711,PEX11G,FAR2
92960,92960,PEX11G,PEX11G
8504,1384,PEX3,CRAT
94009,51024,SERHL,FIS1
94009,94009,SERHL,SERHL
91452,91452,ACBD5,ACBD5
91452,3417,ACBD5,IDH1
91452,55670,ACBD5,PEX26
10059,10059,DNM1L,DNM1L
10059,1891,DNM1L,ECH1
10059,375,DNM1L,ARF1
10059,10130,DNM1L,PDIA6
10059,3939,DNM1L,LDHA
10059,10606,DNM1L,PAICS
10059,7086,DNM1L,TKT
847,847,CAT,CAT
847,3422,CAT,IDI1
847,1962,CAT,EHHADH
847,144811,CAT,LACC1
51024,222659,FIS1,PXT1
51024,1384,FIS1,CRAT
51024,1891,FIS1,ECH1
51024,51024,FIS1,FIS1
8528,8528,DDO,DDO
3416,3416,IDE,IDE
3417,3417,IDH1,IDH1
3418,3418,IDH2,IDH2
641371,51179,ACOT1,HAO2
3422,23417,IDI1,MLYCD
1891,373156,ECH1,GSTK1
1891,1891,ECH1,ECH1
1891,51179,ECH1,HAO2
1891,55670,ECH1,PEX26
3939,3939,LDHA,LDHA
1384,373156,CRAT,GSTK1
10606,10606,PAICS,PAICS
55670,55670,PEX26,PEX26
375,375,ARF1,ARF1
23417,54677,MLYCD,CROT
23417,23417,MLYCD,MLYCD
134526,134526,ACOT12,ACOT12
10654,51179,PMVK,HAO2
84896,5052,ATAD1,PRDX1
373156,5052,GSTK1,PRDX1
373156,373156,GSTK1,GSTK1
1962,59353,EHHADH,TMEM35A
5052,5052,PRDX1,PRDX1
5052,4591,PRDX1,TRIM37
222659,4591,PXT1,TRIM37
26061,26061,HACL1,HACL1
26063,26063,DECR2,DECR2
5605,5605,MAP2K2,MAP2K2
51179,51179,HAO2,HAO2
23019,23019,CNOT1,CNOT1
2539,2539,G6PD,G6PD
4598,4598,MVK,MVK
